WEA.MissileSystem.AntiAircraftMissle	Fliegerfaust, FIM-92 Stinger, 9K32 Strela-2, 9K34 Strela-3, 9K38 Igla, Anza, FIM-43 Redeye Anti-aircraft Missile, PZR Grom, Shorts Blowpipe
CRM.FinancialCrime.Forgery	forged documents, forged signature, forged results, forgery, counterfeit
CRM.FinancialCrime.Fraud	fraud, cheque fraud, credit card fraud, mortgage fraud, medical fraud, corporate fraud, securities fraud, insider trading, bank fraud, insurance fraud, market manipulation, payment fraud, point of sale fraud, health care fraud
WEA.DaggerKnifeSword.Hatchet	hatchet, axe, broadaxe
VEH.Aircraft.Helicopter	helicopter, chopper
COM.Equipment.HumanitarianAid	humanitarian goods, humanitarian
CRM.PoliticalCrime.AbuseOfOffice	illegal use of federal power, misuse of power, misconduct, misconduct in public office
VEH.MilitaryVehicle.Tank	main battle tank, MBT, heavy tank, medium tank, light tank, cruiser tank
COM.Document.Map	map, gps
WEA.MissileSystem.MissileLauncher	missile launcher, rocket launcher, transporter erector launcher, missile turret, BM-21 Grad, RPG, RPG-2, RPG-7, RPG-18, RPG-22, RPG-26, RPG-27, RPG-28, RPG-29, RPG-32, Carl Gustav recoilless rifle, B-40 Rocket Propelled Grenade, GIAT Wasp 58 Light Anti-Armour Weapon, Panzerschreck, Panzerfaust, Panzerfaust 3, PIAT Anti-Tank Grenade Projector, PF-98 Anti-Tank Rocket Launcher, Shoulder-launched Multipurpose Assault Weapon, SMAW, M72 LAW, RPG-76 Komar, AT4, LRAC F1, Instalaza C90-CR (M3), C-100, Bazooka, MBT LAW, KAMAZ-7850, MAZ-7917, MAZ-7310, MZKT-79221, MZKT-6922, MZKT-7930,
WEA.MissileSystem	missile system, Rapier, 2K12 Kub
VEH.WheeledVehicle.Train	monorail, trolley, locomotive, high-speed train, freight train, tram, mine train
LOC.Position.Neighborhood	neighborhood, neighbourhood, neighbor, neighbours
CRM.BehaviorCrime.OrganizedCrime	organized crime,
WEA.Bomb.MolotovCocktail	petrol bomb, gasoline bomb, bottle bomb, poor man's grenade, fire bottle
CRM.PoliticalCrime.PoliceMisconduct	police misconduct, coercion of a confession, intimidation, false arrest, false imprisonment, falsification of evidence, spoliation of evidence, police perjury, witness tampering, police brutality, police corruption, racial profiling, unwarranted surveillance, unwarranted searches, unwarranted seizure of property
WEA.ThrownProjectile.Rock	rock, stone, gravel
WEA.Bullets.LiveRounds	rounds, live rounds, spitzer bullet, shotgun shells, 7.62×39mm round, M43 bullets, M43, M67 bullets, M67, 7.62×51mm NATO, .308 Winchester
WEA.Bullets.RubberBullets	rubber bullets, baton rounds
COM.Equipment.Satellite	satellite, mobile satellite, low-orbit satellite, gps satellite
CRM.FinancialCrime	scams, confidence tricks, tax evasion, bribery, seduction, embezzlement, identity theft, money laundering, illegal funds
CRM.ViolentCrime	shooting, killings, massacre, slaughter, beating, murder, homicide, physical assault, battery
